Country,GDP,Urban_population,Industry,Business,Mining,Manufacturing,Electricity_supply,Water_supply,Construction,Retail trade,Transportation,Accommodation,Information,Financial,Real estate ,Professional_scientific,Administrative,Public_administration,Education,Human_health,Arts,Other
Austria,36950,59.0,18.8,20.7,6.9,20.2,12.5,7.2,7.8,21.9,10.9,4.5,19.7,27.2,27.0,25.8,16.9,8.673913043478262,22.6,13.6,15.8,24.5
Belgium,35950,98.12,5.0,9.2,-4.1,9.5,6.1,11.2,6.8,9.5,2.4,2.6,11.2,7.0,9.1,4.8,8.0,8.673913043478262,4.9,2.1,-0.2,3.3
Bulgaria,6950,76.03,12.2,14.5,13.6,22.2,7.7,8.0,-14.2,14.1,8.7,7.8,22.1,33.5,-7.2,15.4,-22.1,11.3,9.1,26.4,22.2,-1.9
Croatia,13500,57.88,11.1,12.6,5.0,23.6,0.6,-2.1,-15.7,18.8,1.3,14.6,13.4,23.5,1.7,15.0,7.3,11.7,15.0,17.6,16.3,33.0
Cyprus,25480,66.86,9.7,16.8,34.3,22.8,-0.4,-18.3,-0.9,27.8,14.0,16.6,15.9,20.1,-41.2,28.8,5.0,14.0,18.2,19.5,39.4,27.8
Czech Republic,18020,74.21,15.0,12.4,12.7,23.1,17.2,3.8,7.6,21.4,4.6,5.5,28.9,37.5,9.0,21.3,12.3,15.2,18.4,20.6,13.0,12.8
Denmark,50010,88.24,14.2,14.0,13.0,8.5,15.5,2.6,9.5,16.7,9.8,4.8,16.1,16.4,8.6,17.1,-0.5,6.1,5.6,8.0,9.6,8.7
Estonia,16490,69.42,20.5,22.3,16.4,23.4,9.8,10.1,15.7,31.8,0.9,6.6,23.3,31.0,17.6,15.4,18.9,7.1,17.5,25.1,16.1,12.5
Finland,37250,85.6,16.5,15.9,13.0,9.5,17.2,3.2,3.3,19.1,6.7,9.7,11.4,26.4,18.7,14.9,10.7,13.2,12.1,19.6,10.2,15.1
France,32530,81.24,15.4,12.8,16.1,13.1,8.7,-2.8,-9.4,18.7,1.2,7.8,14.3,31.0,13.8,21.8,5.0,11.6,15.9,17.3,22.9,8.0
Germany,35480,77.54,17.6,20.9,7.8,21.4,19.5,2.2,11.5,19.7,5.5,7.8,23.4,23.3,15.2,26.6,14.1,6.1,10.0,23.2,29.8,12.5
Hungary,13690,72.25,17.3,16.2,-1.1,24.0,18.0,0.1,-4.0,16.4,-3.5,11.0,24.9,34.1,5.8,19.9,8.9,1.5,18.5,10.2,27.5,22.4
Italy,26780,71.35,5.0,13.1,-5.2,13.1,10.7,0.7,3.2,15.6,6.9,8.5,15.6,23.7,12.7,23.9,4.4,9.5,8.8,21.0,62.1,10.1
Latvia,12970,68.42,14.6,19.0,27.5,21.6,2.1,17.2,5.9,24.6,9.6,16.7,31.1,30.4,18.7,24.1,19.1,-2.2,11.2,19.5,30.4,23.4
Lithuania,14820,68.25,12.0,14.8,4.2,24.0,7.4,10.6,-1.7,22.6,-5.8,15.0,29.3,34.3,9.3,17.7,8.4,3.2,2.8,27.5,10.1,9.7
Luxembourg,84490,91.67,-0.2,9.7,7.988461538461538,8.8,8.767999999999999,-3.3,-13.9,18.2,2.9,11.9,15.4,23.1,23.1,21.9,12.5,0.0,3.5,0.5,-16.8,19.5
Malta,22760,94.81,10.5,14.2,19.6,23.9,8.767999999999999,20.9,2.2,16.2,11.1,8.4,15.8,24.1,25.6,23.0,15.2,8.673913043478262,8.8,20.8,9.9,32.0
Netherlands,41860,92.57,13.5,19.3,15.7,16.1,10.2,-0.8,8.4,23.9,10.0,11.9,15.6,24.1,15.5,19.4,8.3,1.0,6.2,18.9,20.6,12.0
Norway,71150,83.32,14.3,17.4,8.8,11.9,9.3,-2.1,1.8,18.5,9.8,7.9,13.7,25.8,23.1,18.9,12.0,13.9,5.1,8.7,7.2,10.1
Poland,13760,60.08,4.5,12.4,15.8,16.6,3.3,-1.2,-9.6,22.4,-5.3,7.0,27.0,30.4,6.2,18.4,0.0,13.4,5.4,14.4,6.8,23.7
Portugal,18060,66.85,11.9,15.0,-8.4,22.1,2.9,-11.5,-8.4,15.5,-6.8,14.0,17.1,22.3,20.1,15.8,11.6,8.673913043478262,17.4,28.0,54.3,22.9
Romania,9610,54.33,3.6,10.4,-15.1,20.8,2.1,2.5,-15.3,16.7,1.1,3.6,18.9,32.3,3.8,-0.2,-22.5,4.2,7.5,10.1,8.4,19.0
Slovakia,15920,53.82,16.6,18.4,15.0,25.0,10.3,-4.3,2.7,24.6,7.5,10.5,26.6,30.8,16.5,11.3,2.3,18.0,12.7,22.2,11.7,-8.5
Slovenia,21310,55.43,3.8,9.2,8.2,11.7,-2.0,-19.0,-22.5,20.2,-16.4,3.3,19.0,24.0,-3.3,12.8,13.9,18.3,11.4,15.2,1.9,-4.0
Spain,23450,81.06,8.9,14.7,-22.9,13.8,15.1,7.8,-6.4,15.9,-2.4,5.5,7.5,13.8,14.9,20.1,14.6,3.2,12.0,23.1,7.3,10.8
Sweden,44950,88.24,11.2,8.6,2.9,2.1,3.9,-5.7,0.3,12.1,-2.4,7.5,10.5,23.2,4.6,12.5,3.1,3.9,7.6,7.3,7.2,6.6
Switzerland,62100,74.0,17.7,19.4,8.0,16.1,11.5,3.1,8.1,21.8,11.2,6.3,21.8,31.5,21.4,26.0,17.7,15.3,12.0,17.4,12.9,16.6
