Field,%Complete,Valid Records,Null Values,Empty String,White Space,Blank Value,Outliers,Extremes
Country,100.00%,324,0,0,0,0,0,0
Year,100.00%,324,0,0,0,0,0,0
GDP,100.00%,324,0,0,0,0,12,12
Urban_population,100.00%,324,0,0,0,0,0,0
Industry,99.07%,321,3,0,0,0,1,1
Business,98.77%,320,4,0,0,0,2,2
Mining,93.52%,303,21,0,0,0,14,14
Manufacturing,98.15%,318,6,0,0,0,0,0
Electricity_supply,92.90%,301,23,0,0,0,1,1
Water_supply,96.30%,312,12,0,0,0,8,8
Construction,96.30%,312,12,0,0,0,0,0
Retail trade,97.84%,317,7,0,0,0,6,6
Transportation,98.15%,318,6,0,0,0,27,27
Accommodation,97.22%,315,9,0,0,0,8,8
Information,97.22%,315,9,0,0,0,0,0
Financial,98.15%,318,6,0,0,0,6,6
Real estate ,95.99%,311,13,0,0,0,14,14
Professional_scientific,98.15%,318,6,0,0,0,10,10
Administrative,97.22%,315,9,0,0,0,31,31
Public_administration,79.63%,258,66,0,0,0,0,0
Education,97.22%,315,9,0,0,0,2,2
Human_health,98.15%,318,6,0,0,0,2,2
Arts,95.99%,311,13,0,0,0,29,29
Other,96.60%,313,11,0,0,0,7,7
